"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Прочее","96057","Особо охраняемые природные территории","шт.","Воронежская область","местные","количество","4","16","37","41","41","42","41","41","4","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Воронежская область","образовано","всего","н/д","н/д","н/д","н/д","1000,3","838,58655","970,06077","979,181556","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Воронежская область","местные","площадь","0","0","0","0","0","0","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96054","Особо охраняемые природные территории","шт.","Воронежская область","всего","количество","207","219","242","248","248","251","256","256","200","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96055","Особо охраняемые природные территории","шт.","Воронежская область","федеральные","количество","4","4","4","4","4","4","4","4","4","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Воронежская область","региональные","количество","199","199","201","203","203","205","211","211","192","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","1","1","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Отходы","96036","Рейтинг: отходы","оценка","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","D","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Воронежская область","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","3,1","3,1","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","B","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Воронежская область","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","14,7","6,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Воронежская область","","","4587,0","4313,0","5595,0","6374,0","8195,0","6760,0","6612,0","н/д","4399,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Воронежская область","","","н/д","н/д","н/д","88,1","86,9","88,4","88,7","89,4","н/д","ЕМИСС: Роспотребнадзор"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Воронежская область","","","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0","1,6","ЕМИСС: Роспотребнадзор"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Воронежская область","","всего","н/д","122","н/д","118,8","н/д","118,2","117,2","121,5","121,9","ЕМИСС: Федеральное агентство водных ресурсов"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Воронежская область","","всего","н/д","254,1","н/д","263,8","н/д","170,7","92,0","90,7","253,4","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96021","Выбросы от передвижных источников","кг","Воронежская область","","на душу населения","н/д","108,9","н/д","113,0","н/д","73,4","39,9","39,6","108,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Воронежская область","","","64,0","66,0","66,0","66,0","0,0","0,0","67,0","67,0","64,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Воронежская область","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","67,5","н/д","67,3","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Воронежская область","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96019","Выбросы от стационарных источников","кг","Воронежская область","","на душу населения","н/д","31,2","н/д","44,3","н/д","50,1","48,2","50,1","29,2","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Воронежская область","","всего","н/д","72,7","н/д","103,5","н/д","116,4","111,2","  114,5 ","67,9","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Воронежская область","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Воронежская область","захоронено","всего","н/д","н/д","н/д","н/д","н/д","834,0","938,3","929,9","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Воронежская область","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","359","407,0","406,5","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96046","Количество несанкционированных свалок","шт.","Воронежская область","","","н/д","н/д","н/д","н/д","н/д","84","55","54","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Воронежская область","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","0,39","0,06","0,1","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96028","Водные объекты, отнесенные к категориям «грязная» и «экстремально грязная» вода (% поверхностных водных объектов)","%","Воронежская область","","","н/д","н/д","н/д","н/д","4,2","4,2","20,8","н/д","н/д","Росгидромет: Ежегодник «Качество поверхностных вод Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Воронежская область","","на душу населения","н/д","52,3","н/д","50,9","н/д","50,9","50,8","53,1","52,3","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Воронежская область","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","1,86","0,94","1,1","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96032","Площади зон хронического загрязнения почв токсикантами промышленного происхождения (% от площади региона)","%","Воронежская область","","","н/д","н/д","н/д","н/д","9,2","н/д","н/д","н/д","н/д","Для некоторых регионов, о площадях загрязнения почв в которых нет точных данных, указан уровень загрязнения\
Институт глобального климата и экологии им. академика Ю. А. Израэля: монография «Загрязнение окружающей среды в регионах России в начале XXI века»"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Воронежская область","по микробиологическим показателям","","н/д","н/д","н/д","н/д","3,4","2,91","0,4","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96031","Индекс нейтрального баланса деградации земель (от -100% до 100%)","%","Воронежская область","","","н/д","н/д","н/д","н/д","7,4","н/д","н/д","н/д","н/д","Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019;"
"Почвы","96031","Индекс нейтрального баланса деградации земель (от -100% до 100%)","%","Еврейская автономная область","","","н/д","н/д","н/д","н/д","58,1","н/д","н/д","н/д","н/д","Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019;"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Еврейская автономная область","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","0","0","0,9","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Еврейская автономная область","захоронено","всего","н/д","н/д","н/д","н/д","н/д","40,8","36,7","2,8","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96046","Количество несанкционированных свалок","шт.","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","15","26","30","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Еврейская автономная область","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","258","234,5","18,3","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Еврейская автономная область","по микробиологическим показателям","","н/д","н/д","н/д","н/д","36,99","29,25","49,3","38,4","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Еврейская автономная область","","на душу населения","н/д","84,3","н/д","66,0","н/д","73,9","79,2","77,4","75,7","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Вода","96028","Водные объекты, отнесенные к категориям «грязная» и «экстремально грязная» вода (% поверхностных водных объектов)","%","Еврейская автономная область","","","н/д","н/д","н/д","н/д","46,1","46,1","15,4","н/д","н/д","Росгидромет: Ежегодник «Качество поверхностных вод Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96032","Площади зон хронического загрязнения почв токсикантами промышленного происхождения (% от площади региона)","%","Еврейская автономная область","","","н/д","н/д","н/д","н/д","низкий уровень загрязнения","н/д","н/д","н/д","н/д","Для некоторых регионов, о площадях загрязнения почв в которых нет точных данных, указан уровень загрязнения\
Институт глобального климата и экологии им. академика Ю. А. Израэля: монография «Загрязнение окружающей среды в регионах России в начале XXI века»"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Еврейская автономная область","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","4,95","12,59","6,0","3,9","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Еврейская автономная область","","","357,0","434,0","708,0","493,0","485,0","713,0","614,0","н/д","321,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Еврейская автономная область","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","0,0","0,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96036","Рейтинг: отходы","оценка","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","A","A","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","1","1","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Прочее","96055","Особо охраняемые природные территории","шт.","Еврейская автономная область","федеральные","количество","н/д","н/д","н/д","1","1","1","1","1","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96054","Особо охраняемые природные территории","шт.","Еврейская автономная область","всего","количество","н/д","н/д","н/д","24","24","24","24","24","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Еврейская автономная область","региональные","количество","н/д","н/д","н/д","23","23","23","23","23","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Еврейская автономная область","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","0,0","0,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Еврейская автономная область","местные","площадь","0","0","0","0","0","0","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Еврейская автономная область","образовано","всего","н/д","н/д","н/д","н/д","34,4","60,585961","72,040081","43,02047","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Еврейская автономная область","накоплено","","114","н/д","н/д","280","324","378","444","459,9","82","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Еврейская автономная область","образовано","","167,8","н/д","н/д","127,6","3073,1","3521,2","3384,7","3476,4","200,6","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Еврейская автономная область","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","0,0","0,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Еврейская автономная область","накоплено","всего","н/д","н/д","н/д","н/д","н/д","71,8","107,1","66,3","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Еврейская автономная область","региональные","площадь","0","0","0","295","295","295","295","295","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Еврейская автономная область","федеральные","площадь","0","0","0","127","127","127","128","128","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96038","Твердые коммунальные отходы","кг","Еврейская автономная область","образовано","на душу населения","н/д","н/д","н/д","н/д","215,2","382,7","460,3","279,7","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Еврейская автономная область","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","0,0","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Еврейская автономная область","","","н/д","н/д","н/д","н/д","н/д","н/д","B","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Еврейская автономная область","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","0,0","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96041","Твердые коммунальные отходы","%","Еврейская автономная область","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","67,4","50,9","6,5","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96057","Особо охраняемые природные территории","шт.","Еврейская автономная область","местные","количество","н/д","н/д","н/д","0","0","н/д","н/д","н/д","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Еврейская автономная область","всего","площадь","0","0","0","422","422","422","423","423","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Еврейская автономная область","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96021","Выбросы от передвижных источников","кг","Еврейская автономная область","","на душу населения","н/д","92,7","н/д","99,4","н/д","30,3","31,7","32,6","92,7","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Еврейская автономная область","","всего","н/д","15,4","н/д","16,1","н/д","4,8","5,0","5,0","15,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Еврейская автономная область","","","н/д","н/д","н/д","61,6","59,9","61,8","62,1","63,2","н/д","ЕМИСС: Роспотребнадзор"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Еврейская автономная область","","всего","н/д","14","н/д","10,7","н/д","11,7","12,4","11,9","12,9","ЕМИСС: Федеральное агентство водных ресурсов"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Еврейская автономная область","","","10,7","10,7","0,0","0,0","10,7","10,7","0,0","0","16,1","ЕМИСС: Роспотребнадзор"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Еврейская автономная область","","всего","н/д","19,1","н/д","18,6","н/д","16,5","16,7","  19,7 ","18,3","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96019","Выбросы от стационарных источников","кг","Еврейская автономная область","","на душу населения","н/д","115,0","н/д","114,8","н/д","104,2","106,6","127,9","107,4","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
